Time,RadioId,NodeId,NodeRSSI,Battery,Celsius,RecordedAt,Firmware,SolarVolts,SolarCurrent,CumulativeSolarCurrent,Latitude,Longitude,UpTime,AverageChargerCurrentMa,EnergyUsed,SdFree,Detections,Errors
2025-05-27 17:27:54,1,45D50C,-85,3.5,25,2025-05-27 17:25:34,1.17.4,0.01,1,7246135,37.932048,-75.459416,,,,,,
2025-05-27 17:28:20,1,8D5C5B64,-71,3.6,25,2025-05-27 17:28:17,,,,,39.001155,-74.913803,366,0,0,99,42,0
2025-05-27 17:28:43,1,965D5CC7,-67,3.6,23,2025-05-27 17:28:41,,,,,39.001163,-74.913894,419,0,0,100,5183,11
2025-05-27 17:28:49,1,965D5CC7,-72,3.6,23,2025-05-27 17:28:44,,,,,39.001163,-74.913894,422,0,0,100,49,0
2025-05-27 17:28:53,1,4610FD,-95,3.5,22,2017-01-22 21:05:04,1.17.4,0.01,1,326497,,,,,,,,
2025-05-27 17:28:54,1,965D5CC7,-68,3.6,23,2025-05-27 17:28:50,,,,,39.001163,-74.913894,428,0,0,100,59,0
2025-05-27 17:29:05,1,965D5CC7,-70,3.6,23,2025-05-27 17:29:02,,,,,39.001163,-74.913894,440,0,0,100,174,0
2025-05-27 17:29:08,1,965D5CC7,-70,3.6,23,2025-05-27 17:29:05,,,,,39.001163,-74.913894,443,0,0,100,57,0
2025-05-27 17:29:11,1,965D5CC7,-70,3.6,23,2025-05-27 17:29:08,,,,,39.001163,-74.913894,446,0,0,100,52,0
2025-05-27 17:29:16,1,965D5CC7,-70,3.6,23,2025-05-27 17:29:11,,,,,39.001163,-74.913894,449,0,0,100,58,0
2025-05-27 17:29:20,1,965D5CC7,-69,3.6,23,2025-05-27 17:29:17,,,,,39.001163,-74.913894,455,0,0,100,59,0
2025-05-27 17:29:36,1,339A0A,-77,3.48,24,2025-05-27 17:55:03,1.12.4,2.05,0,1053423,,,,,,,,
2025-05-27 17:29:42,1,4604DF,-90,3.62,24,2025-05-27 17:18:02,1.17.4,0.63,1,571447,39.000856,-74.913744,,,,,,
2025-05-27 17:30:26,1,45F8EB,-83,3.52,24,2025-05-27 17:27:32,1.17.4,0.01,1,4536307,37.908764,-75.354528,,,,,,
2025-05-27 17:30:29,1,33BF25,-84,3.82,24,2025-05-27 17:55:09,1.12.4,3.21,0,1129220,39.000884,-74.913856,,,,,,
2025-05-27 17:30:30,1,377B8F,-66,3.75,23,2025-05-27 17:24:56,1.17.4,1.53,0,5266734,39.00096,-74.913792,,,,,,
2025-05-27 17:30:34,1,460C5C,-84,3.64,26,2025-05-27 17:19:48,1.17.4,1.17,1,2769714,39.000952,-74.913928,,,,,,
2025-05-27 17:30:49,1,460ED9,-80,3.52,24,2025-05-27 16:53:34,1.17.4,0.01,1,5687127,37.9262,-75.461344,,,,,,
2025-05-27 17:30:57,5,3B55DF,-104,3.54,22,2025-05-27 17:31:13,1.17.4,0.28,1,5479936,39.000924,-74.913832,,,,,,
2025-05-27 17:30:57,1,3B55DF,-69,3.54,22,2025-05-27 17:31:13,1.17.4,0.28,1,5479936,39.000924,-74.913832,,,,,,
2025-05-27 17:31:30,1,33899C,-75,3.3,22,2025-05-27 17:38:28,1.12.4,2.77,0,1510959,39.000988,-74.913712,,,,,,
2025-05-27 17:31:31,1,33A331,-78,3.74,21,2025-05-27 17:57:29,1.12.4,2.4,0,1474446,39.000852,-74.913904,,,,,,
2025-05-27 17:31:40,1,462135,-90,3.64,26,2025-05-27 17:20:44,1.17.4,0.43,1,2623462,39.000896,-74.913784,,,,,,
2025-05-27 17:31:43,1,33C814,-77,3.78,23,2025-05-27 17:57:54,1.12.4,2.25,0,1339006,,,,,,,,
2025-05-27 17:31:56,1,12F04F2F,-71,3.7,23,2020-01-01 00:00:00,,,,,,,0,0,0,100,0,1
2025-05-27 17:31:58,1,460044,-90,3.58,23,2025-05-27 17:24:57,1.17.4,0.76,1,2670650,39.000988,-74.913816,,,,,,
2025-05-27 17:32:04,1,2D1C89CA,-71,3.7,21,2020-01-01 00:00:00,,,,,,,0,0,0,99,0,1
2025-05-27 17:32:04,4,2D1C89CA,-105,3.7,21,2020-01-01 00:00:00,,,,,,,0,0,0,99,0,1
2025-05-27 17:32:12,1,3B7E92,-70,3.43,26,2025-05-27 17:31:31,1.17.4,4.29,7,39201228,39.000912,-74.913544,,,,,,
2025-05-27 17:32:37,1,46283C,-78,3.53,24,2017-01-17 20:11:54,1.17.4,0.01,1,163202,,,,,,,,
2025-05-27 17:32:40,1,460234,-75,3.52,28,2017-10-30 07:19:29,1.17.4,0.01,1,2702681,,,,,,,,
2025-05-27 17:32:48,1,339964,-81,2.59,24,2017-01-05 11:45:12,1.12.4,1.84,4,39116,,,,,,,,
2025-05-27 17:32:53,1,45ED6E,-68,3.63,20,2025-05-27 17:20:28,1.17.4,0,1,394783,39.000876,-74.913848,,,,,,
2025-05-27 17:32:54,1,45FAE5,-78,3.64,20,2025-05-27 16:55:08,1.17.4,1.92,0,5763412,39.001064,-74.913672,,,,,,
2025-05-27 17:32:58,1,45D50C,-84,3.5,25,2025-05-27 17:30:38,1.17.4,0.01,1,7246165,37.932048,-75.459416,,,,,,
2025-05-27 17:33:14,1,45CF2B,-77,3.63,25,2025-05-27 16:41:41,1.17.4,4.36,0,2362030,39.000996,-74.913848,,,,,,
2025-05-27 17:34:25,1,376CC3,-90,3.46,23,2025-05-27 17:27:37,1.17.5,2.6,0,4713293,39.000932,-74.913688,,,,,,
2025-05-27 17:35:30,1,45F8EB,-84,3.53,24,2025-05-27 17:32:36,1.17.4,0.01,1,4536337,37.908764,-75.354528,,,,,,
2025-05-27 17:35:34,1,33BF25,-84,3.82,24,2025-05-27 18:00:13,1.12.4,3.18,0,1129220,39.000884,-74.913856,,,,,,
2025-05-27 17:35:38,1,CB4A1EAE,-76,3.6,25,2020-01-01 00:00:00,,,,,,,0,0,0,100,0,1
2025-05-27 17:35:52,1,2D1C89CA,-71,3.7,23,2025-05-27 17:35:50,,,,,39.001152,-74.913887,228,0,0,99,55,0
2025-05-27 17:35:58,1,2D1C89CA,-71,3.7,23,2025-05-27 17:35:53,,,,,39.001152,-74.913887,231,0,0,99,62,0
2025-05-27 17:36:01,1,3B55DF,-66,3.54,22,2025-05-27 17:36:17,1.17.4,0.26,1,5479966,39.000924,-74.913832,,,,,,
2025-05-27 17:36:01,5,3B55DF,-105,3.54,22,2025-05-27 17:36:17,1.17.4,0.26,1,5479966,39.000924,-74.913832,,,,,,
2025-05-27 17:36:26,1,2D1C89CA,-71,3.7,23,2025-05-27 17:36:25,,,,,39.001152,-74.913887,263,0,0,99,56,0
2025-05-27 17:37:03,1,460044,-90,3.57,25,2025-05-27 17:30:01,1.17.4,0.74,1,2670680,39.000988,-74.913816,,,,,,
